year,period,enddate,description,doy,assessment,location,source
1574,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1575,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1576,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1577,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1578,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1579,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1580,Sep 28,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1581,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1582,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1583,Sep 12,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1584,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1585,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1586,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1587,Oct 16,NA,grape harvest begins  (d-of-Yr),289,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1588,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1589,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1590,Sep 15,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1591,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1592,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1593,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1594,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1595,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1596,Oct 21,NA,grape harvest begins  (d-of-Yr),295,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1597,Oct 14,NA,grape harvest begins  (d-of-Yr),287,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1598,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1599,Sep 13,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1600,Oct 19,NA,grape harvest begins  (d-of-Yr),293,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1601,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1602,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1603,Sep 3,NA,grape harvest begins  (d-of-Yr),246,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1604,Sep 21,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1605,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1606,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1607,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1608,Oct 6,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1609,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1610,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1611,Sep 10,NA,grape harvest begins  (d-of-Yr),253,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1612,Sep 30,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1613,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1614,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1615,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1616,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1617,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1618,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1619,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1620,Oct 2,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1621,Oct 19,NA,grape harvest begins  (d-of-Yr),292,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1622,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1623,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1624,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1625,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1626,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1627,Oct 21,NA,grape harvest begins  (d-of-Yr),294,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1628,Oct 12,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1629,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1630,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1631,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1632,Oct 14,NA,grape harvest begins  (d-of-Yr),288,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1633,Oct 15,NA,grape harvest begins  (d-of-Yr),288,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1634,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1635,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1636,Oct 4,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1637,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1638,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1639,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1640,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1641,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1642,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1643,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1644,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1645,Sep 11,NA,grape harvest begins  (d-of-Yr),254,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1646,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1647,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1648,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1649,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1650,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1651,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1652,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1653,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1654,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1655,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1656,Oct 2,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1657,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1658,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1659,Sep 9,NA,grape harvest begins  (d-of-Yr),252,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1660,Sep 13,NA,grape harvest begins  (d-of-Yr),257,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1661,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1662,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1663,Oct 10,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1664,Sep 22,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1665,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1666,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1667,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1668,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1669,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1670,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1671,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1672,Sep 30,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1673,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1674,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1675,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1676,Sep 9,NA,grape harvest begins  (d-of-Yr),253,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1677,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1678,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1679,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1680,Sep 12,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1681,Sep 13,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1682,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1683,Sep 13,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1684,Sep 4,NA,grape harvest begins  (d-of-Yr),248,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1685,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1686,Sep 6,NA,grape harvest begins  (d-of-Yr),249,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1687,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1688,Sep 30,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1689,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1690,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1691,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1692,Oct 13,NA,grape harvest begins  (d-of-Yr),287,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1693,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1694,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1695,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1696,Oct 6,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1697,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1698,Oct 15,NA,grape harvest begins  (d-of-Yr),288,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1699,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1700,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1701,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1702,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1703,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1704,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1705,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1706,Sep 7,NA,grape harvest begins  (d-of-Yr),250,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1707,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1708,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1709,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1710,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1711,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1712,Oct 4,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1713,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1714,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1715,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1716,Oct 9,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1717,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1718,Sep 3,NA,grape harvest begins  (d-of-Yr),246,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1719,Aug 29,NA,grape harvest begins  (d-of-Yr),241,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1720,Sep 27,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1721,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1722,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1723,Sep 14,NA,grape harvest begins  (d-of-Yr),257,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1724,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1725,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1726,Sep 9,NA,grape harvest begins  (d-of-Yr),252,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1727,Sep 12,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1728,Sep 14,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1729,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1730,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1731,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1732,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1733,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1734,Sep 13,NA,grape harvest begins  (d-of-Yr),256,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1735,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1736,Sep 19,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1737,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1738,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1739,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1740,Oct 18,NA,grape harvest begins  (d-of-Yr),292,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1741,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1742,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1743,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1744,Sep 28,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1745,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1746,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1747,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1748,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1749,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1750,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1751,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1752,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1753,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1754,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1755,Sep 17,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1756,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1757,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1758,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1759,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1760,Sep 16,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1761,Sep 15,NA,grape harvest begins  (d-of-Yr),258,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1762,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1763,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1764,Sep 18,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1765,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1766,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1767,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1768,Sep 29,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1769,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1770,Oct 6,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1771,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1772,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1773,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1774,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1775,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1776,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1777,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1778,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1779,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1780,Sep 20,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1781,Sep 12,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1782,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1783,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1784,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1785,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1786,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1787,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1788,Sep 13,NA,grape harvest begins  (d-of-Yr),257,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1789,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1790,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1791,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1792,Oct 4,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1793,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1794,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1795,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
